ticker,Date,TVol,TXN,TV,OP,HP,LP,CP,Dir,CHG,LBBP,LBBV,LBSP,LBSV,PER
076889,20210129,0.0,0.0,0,--,--,--,--, ,0.0,1.31,100.0,1.32,50.0,216.00
076890,20210129,0.0,0.0,0,--,--,--,--, ,0.0,1.43,100.0,1.44,50.0,216.00
076891,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.26,100.0,0.27,50.0,19.05
076892,20210129,19000.0,1.0,"13,300",0.7,0.7,0.7,0.7,+,0.03,0.69,100.0,0.7,50.0,28.15
076893,20210129,30000.0,2.0,"21,500",0.73,0.73,0.71,0.71,-,0.06,0.06,19.0,0.99,53.0,134.00
076894,20210129,10000.0,1.0,"11,400",1.14,1.14,1.14,1.14,+,0.11,1.04,100.0,1.05,50.0,124.50
076895,20210129,1000.0,1.0,"1,800",1.8,1.8,1.8,1.8,-,0.12,1.68,100.0,1.69,10.0,260.00
076896,20210129,33000.0,3.0,"36,180",1.26,1.26,1.08,1.08,-,0.15,1.06,100.0,1.08,50.0,125.00
076897,20210129,10000.0,5.0,"13,960",1.42,1.42,1.34,1.34,X,0.0,1.27,100.0,1.29,50.0,125.00
076898,20210129,70000.0,2.0,"46,800",0.67,0.67,0.66,0.66,-,0.06,0.6,100.0,0.62,50.0,28.00
076899,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.3,25.0,0.32,8.0,6.72
076900,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.19,25.0,0.26,20.0,6.72
076901,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.14,25.0,0.24,10.0,6.72
076902,20210129,199000.0,1.0,"75,620",0.38,0.38,0.38,0.38,X,0.0,0.28,25.0,0.37,10.0,6.72
076903,20210129,10000.0,1.0,"4,300",0.43,0.43,0.43,0.43,X,0.0,0.34,25.0,0.44,10.0,7.64
076904,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.25,25.0,0.35,10.0,7.64
076905,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.85,25.0,0.86,10.0,28.45
076906,20210129,76000.0,7.0,"150,900",1.98,2.02,1.97,2.02,X,0.0,2.01,25.0,2.02,10.0,27.40
076907,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.5,25.0,0.51,10.0,47.90
076908,20210129,125000.0,6.0,"175,150",1.54,1.54,1.37,1.37,-,0.22,1.36,25.0,1.37,10.0,38.80
076909,20210129,133000.0,18.0,"145,410",1.17,1.17,0.96,0.96,-,0.16,0.95,25.0,0.97,10.0,220.50
076910,20210129,0.0,0.0,0,--,--,--,--, ,0.0,--,0.0,5.5,4.0,31.20
076911,20210129,12000.0,3.0,"14,940",1.25,1.25,1.24,1.24,+,0.11,1.03,25.0,1.04,10.0,293.50
076912,20210129,236000.0,5.0,"176,590",0.72,0.82,0.72,0.79,+,0.06,0.78,499.0,0.79,499.0,47.90
076913,20210129,0.0,0.0,0,--,--,--,--, ,0.0,2.54,10.0,2.63,10.0,396.00
076914,20210129,149000.0,2.0,"115,440",0.76,0.81,0.76,0.81,+,0.01,0.71,503.0,0.72,400.0,182.00
076915,20210129,185000.0,10.0,"512,800",2.92,2.97,2.54,2.54,-,0.12,2.5,10.0,2.56,10.0,591.00
076916,20210129,108000.0,3.0,"270,680",2.46,2.51,2.46,2.51,+,0.31,2.36,10.0,2.37,10.0,875.00
076917,20210129,5000.0,1.0,"8,900",1.78,1.78,1.78,1.78,-,0.22,1.64,500.0,1.67,400.0,105.00
076918,20210129,0.0,0.0,0,--,--,--,--, ,0.0,1.94,10.0,1.98,10.0,159.50
076919,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.28,10.0,0.29,10.0,"2,940.00"
076920,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.33,10.0,0.34,10.0,"2,940.00"
076921,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.42,10.0,0.43,10.0,"2,940.00"
076922,20210129,55000.0,2.0,"36,300",0.66,0.66,0.66,0.66,-,0.02,0.59,10.0,0.6,10.0,42.60
076923,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.37,10.0,0.38,10.0,19.05
076924,20210129,45000.0,2.0,"40,950",0.91,0.91,0.91,0.91,-,0.07,0.88,27.0,0.9,25.0,101.00
076925,20210129,107000.0,2.0,"96,030",0.91,0.91,0.89,0.89,-,0.02,0.82,25.0,0.83,25.0,12.55
076926,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.18,25.0,0.19,25.0,"2,940.00"
076927,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.13,25.0,0.14,25.0,"2,940.00"
076928,20210129,6000.0,2.0,"17,940",3.0,3.0,2.94,2.94,-,0.17,2.86,25.0,2.87,25.0,86.50
076929,20210129,50000.0,1.0,"106,000",2.12,2.12,2.12,2.12,-,0.07,2.02,25.0,2.03,25.0,216.00
076930,20210129,0.0,0.0,0,--,--,--,--, ,0.0,3.18,25.0,3.28,17.0,13.05
076931,20210129,187000.0,8.0,"337,090",1.76,1.82,1.76,1.79,+,0.09,1.72,25.0,1.82,25.0,208.00
076932,20210129,0.0,0.0,0,--,--,--,--, ,0.0,7.15,25.0,7.35,25.0,669.00
